gene,log2FC,p
Adora1,0.0,1.0
Myog,0.0,1.0
Ppfia4,0.031544194,0.6869201
Tmem183a,0.039874025,0.16732833
Cyb5r1,0.115175396,0.116849296
Adipor1,0.22925797,0.18598215
Platr1,0.0,1.0
Klhl12,-0.0063687153,0.4226497
Rabif,-0.0016017556,0.97408265
Kdm5b,0.0007243082,0.9805615
Syt2,0.0,1.0
Ppp1r12b,0.021687914,0.18918858
Gm28892,0.0,1.0
Ube2t,0.0032671867,0.83179224
Lgr6,0.0,1.0
Ptpn7,0.0,1.0
Arl8a,0.27737132,0.04615325
Gm15445,-0.019407563,0.32033378
Gpr37l1,0.0074313916,0.8036044
Gm26642,0.0,1.0
Elf3,0.0,1.0
Rnpep,0.18281972,0.05782306
Timm17a,-0.04640293,0.21436813
Lmod1,0.0,1.0
Shisa4,0.018335994,0.5844445
Ipo9,-0.0051627457,0.85292166
Nav1,-0.0065313876,0.77726775
Gm4793,0.0,1.0
Gm38399,0.014777362,0.3501061
Csrp1,-0.006030269,0.9014308
Phlda3,0.0068282736,0.78266555
Tnni1,0.00697537,0.20717554
Lad1,0.0,1.0
Tnnt2,0.0,1.0
Igfn1,0.0,1.0
Tmem9,0.009430125,0.6645686
Cacna1s,-0.0042421315,0.4226497
Gm37759,0.0,1.0
Kif21b,0.0061371177,0.88654166
Mroh3,0.0,1.0
5730559C18Rik,0.0,1.0
Gm26568,0.0,1.0
Gm26781,0.0,1.0
Camsap2,-0.013097532,0.7656384
Ddx59,0.027220424,0.34202763
Kif14,0.0,1.0
Platr23,0.0,1.0
Zfp281,0.06534763,0.5561126
Gm19705,0.011952907,0.4226497
Platr22,0.0,1.0
Nr5a2,0.0,1.0
A430106G13Rik,0.002629067,0.42264977
Ptprc,-0.0198434,0.92122185
Nek7,0.08971006,0.43453667
Lhx9,0.0,1.0
2310009B15Rik,0.07531315,0.15440865
Dennd1b,-0.007182762,0.9151363
Crb1,0.0,1.0
Zbtb41,0.0077789016,0.51604223
Aspm,0.0,1.0
Cfhr2,0.0,1.0
Cfh,0.1992935,0.13491283
Kcnt2,0.0,1.0
Cdc73,-0.010382742,0.7270349
B3galt2,0.006171959,0.4226497
Glrx2,0.08436424,0.24082553
Trove2,0.0034535713,0.6427937
Uchl5,0.03807442,0.39772293
Rgs2,0.037485957,0.8125238
Rgs1,-0.52031493,0.013634052
Rgs18,-0.014561683,0.83962184
Gm29514,0.0,1.0
Brinp3,-0.0034354844,0.42264977
Pla2g4a,-0.020247124,0.48167312
Ptgs2,-0.019686788,0.83951473
Ptgs2os2,-0.019396361,0.37351054
Pdc,0.0,1.0
BC003331,-0.043177992,0.714806
Tpr,-0.019728482,0.8543755
Prg4,0.0,1.0
Hmcn1,0.0,1.0
Gm10138,-0.0018770844,0.95784235
Ivns1abp,0.006047964,0.95872635
Swt1,0.030124351,0.6103096
Trmt1l,0.04092981,0.20400345
Rnf2,0.011195853,0.8582929
Fam129a,-0.0534302,0.53241533
2810414N06Rik,0.00060943654,0.94895405
Edem3,0.024936076,0.39840898
