gene,log2FC_z,p,padj
3110039M20Rik,0.5258401298641653,0.12483848530069999,0.9828772960271867
3110040N11Rik,-0.6781642629100606,0.09701958897055714,0.9828772960271867
3110043O21Rik,-0.15687520058888002,0.6673669634849834,0.9900843878271318
3110045C21Rik,0.29137491882405325,0.4338353579958992,0.9857739113502277
3110053B16Rik,-0.2412872740859187,0.5104819653185515,0.9857739113502277
3110056K07Rik,0.016606395118826237,0.9664916619828942,0.9985217434693114
3110062M04Rik,0.5320847561589169,0.1495011207182693,0.9857739113502277
3110070M22Rik,-0.3111025477170636,0.38419840387323345,0.9857739113502277
3110082I17Rik,-1.0586609313371655,0.005442873205533405,0.6615996559327926
3110082J24Rik,-0.0767886295575983,0.8594259945881408,0.9957145576505264
3110083C13Rik,-0.3028120503462801,0.40072729590826583,0.9857739113502277
3222401L13Rik,0.023992482191086618,0.9418467095458991,0.9974522354524169
3300002I08Rik,0.23323459913575187,0.5181353073169546,0.9857739113502277
3632451O06Rik,0.12549508947752258,0.7446466961670021,0.9943911083242979
3632454L22Rik,0.2478523117955179,0.5660963136542791,0.98927337269165
3830406C13Rik,-0.20771628483818494,0.6090485773143377,0.9899338981042789
3830408C21Rik,0.14991589518442777,0.7324651978479431,0.9937730030473009
4430402I18Rik,0.034345753543908834,0.9345137779353401,0.9974522354524169
4632404H12Rik,0.6207594863700225,0.1239692721885681,0.9828772960271867
4632415L05Rik,-0.3924666280977406,0.2866696710459783,0.9857739113502277
4632427E13Rik,-0.04954448347153147,0.9017168303328952,0.9957145576505264
4632428C04Rik,0.05964908590928045,0.8777718919602908,0.9957145576505264
4732414G09Rik,-0.23777289047883626,0.5334939270953929,0.9857739113502277
4732419C18Rik,-0.09047305725927896,0.8018266295876906,0.9957145576505264
4732440D04Rik,0.07216477766172508,0.8374770227609913,0.9957145576505264
4732463B04Rik,0.38099528240804026,0.30231466153339454,0.9857739113502277
4732471J01Rik,-0.40119825752860794,0.30315557483484057,0.9857739113502277
4732491K20Rik,-0.5038109031356077,0.1838387966351904,0.9857739113502277
4831440E17Rik,-0.23943719121168233,0.49595336688107766,0.9857739113502277
4833412K13Rik,0.14283201083825214,0.749276257886775,0.9946367496465507
4833413G10Rik,-0.28632398812604704,0.4658947528493728,0.9857739113502277
4833418N02Rik,0.0484382273306711,0.8912620728032492,0.9957145576505264
4833420G17Rik,0.12874233848046643,0.7531333178419746,0.995002303447194
4833422C13Rik,0.02538635490272989,0.9445277776148898,0.9974522354524169
4833422M21Rik,0.5808479431107615,0.20703516866587032,0.9857739113502277
4833439L19Rik,-0.09843392753627876,0.7693355735119306,0.9957145576505264
4833445I07Rik,-0.7929935328100682,0.03815542778279667,0.9365093129109723
4921504A21Rik,0.13032678643346934,0.7667456433865885,0.995391671407995
4921507P07Rik,0.17957677174077086,0.6255297287215283,0.9899338981042789
4921524J17Rik,0.024865189744222898,0.9491989442999292,0.9974522354524169
4921531C22Rik,-0.5680628068283822,0.12908228156667864,0.9828772960271867
4921536K21Rik,0.8753025870254441,0.04516276411637047,0.9428547183399831
4921539H07Rik,0.5433612469540419,0.17266768189340187,0.9857739113502277
4930402H24Rik,-0.7382014657885538,0.05763886800018416,0.951097323810929
4930412C18Rik,-0.7921925071708719,0.03740558253590667,0.9365093129109723
4930426D05Rik,-0.2784073256714868,0.5086368775373425,0.9857739113502277
4930426I24Rik,-0.3089142042781254,0.5386971561393533,0.9857739113502277
4930426L09Rik,-0.46123120873036827,0.2936893914439011,0.9857739113502277
4930430F08Rik,0.007504919138683699,0.9848072772442655,0.9994993364511346
4930432K21Rik,-0.3266538223594843,0.4293264342394075,0.9857739113502277
4930444P10Rik,-0.11941877133656653,0.7795460642789419,0.9957145576505264
4930447C04Rik,-0.4149269602872563,0.30057574683689964,0.9857739113502277
4930447M23Rik,-0.614314544764506,0.15149247825035636,0.9857739113502277
