gene,timepoint,log2FC,p,padj
2610005L07Rik,24H,0.29152227485003834,0.5058648152699129,1.0
2610008E11Rik,24H,0.11114427909845404,0.8527933595026058,1.0
2610015P09Rik,24H,0.38002724325183745,0.47833863670951265,1.0
2610020C07Rik,24H,0.7173776924348907,0.07583944249333205,1.0
2610020H08Rik,24H,0.5547793397355631,0.2934963953452002,1.0
2610021A01Rik,24H,0.37554973940781444,0.4651026262527748,1.0
2610028E06Rik,24H,-0.631060284560554,0.2686265357116742,1.0
2610035D17Rik,24H,0.017844207897177,0.9087570682702516,1.0
2610035F20Rik,24H,0.8215646923591686,0.44208893711365244,1.0
2610037D02Rik,24H,0.64576406268458,0.3295818238986273,1.0
2610042L04Rik,24H,-0.4047910247648816,0.5860431502901695,1.0
2610044O15Rik8,24H,0.2839776851208473,0.5653916762697263,1.0
2610203C20Rik,24H,0.1841043567646512,0.8315020811885467,1.0
2610203C22Rik,24H,-0.6116281520950637,0.354792742919238,1.0
2610301B20Rik,24H,0.15096260170778564,0.6314983656077064,1.0
2610305D13Rik,24H,-0.227059504465156,0.7149593676682088,1.0
2610306M01Rik,24H,-0.09232254713463117,0.16331497611873036,1.0
2610316D01Rik,24H,-0.2688957382911834,0.5181571293696507,1.0
2610318N02Rik,24H,0.31428583698058565,0.18697175644560998,1.0
2610507B11Rik,24H,0.050858723833050234,0.8415720080495762,1.0
2610507I01Rik,24H,0.13137951487434307,0.7422241873617733,1.0
2610524H06Rik,24H,-0.23691295711376004,0.32380675072976617,1.0
2700029L08Rik,24H,0.22759876725746286,0.7586327009082302,1.0
2700029M09Rik,24H,0.1180704110487465,0.7808989767224987,1.0
2700038G22Rik,24H,0.24670228911861347,0.597921451168365,1.0
2700046A07Rik,24H,0.45134227715792985,0.2315055326684164,1.0
2700046G09Rik,24H,-0.10187282020381438,0.8029827545046203,1.0
2700049A03Rik,24H,0.27407023223636884,0.5349454301604057,1.0
2700060E02Rik,24H,0.022704834753961123,0.9195835868109069,1.0
2700062C07Rik,24H,0.00703701315810612,0.9832413417603962,1.0
2700069I18Rik,24H,-0.6393619118596932,0.20551824087311812,1.0
2700081O15Rik,24H,0.12558358934453118,0.7931107461954442,1.0
2700094K13Rik,24H,0.09704399636701044,0.7121789685890384,1.0
2700097O09Rik,24H,0.12576234099907513,0.7619265857777637,1.0
2810001G20Rik,24H,-0.12714252818270388,0.7914323749798224,1.0
2810002D19Rik,24H,0.33794434186522526,0.43620094513082713,1.0
2810004N23Rik,24H,0.09050074870003755,0.8536594039059863,1.0
2810006K23Rik,24H,0.09736945033597966,0.665173087664868,1.0
2810013P06Rik,24H,0.13899518026673263,0.5913970296228509,1.0
2810021J22Rik,24H,0.1420744441980588,0.7275776053277435,1.0
2810025M15Rik,24H,0.08364125104635001,0.4554071081195458,1.0
2810029C07Rik,24H,-0.22720937428378019,0.4783906308406544,1.0
2810032G03Rik,24H,0.1827513635971405,0.4827887568937076,1.0
2810039B14Rik,24H,-0.15275106247273662,0.7822809652418168,1.0
2810049E08Rik,24H,0.16602812828641778,0.8127452229821079,1.0
2810402E24Rik,24H,-0.3342874413354897,0.2549607652075944,1.0
2810403A07Rik,24H,0.1517661607721088,0.6984356908253553,1.0
2810403D21Rik,24H,0.2808289914539728,0.6558991857994373,1.0
2810405F17Rik,24H,-0.115267421298058,0.8025137220160209,1.0
2810407A14Rik,24H,-0.2506287111394965,0.3886077091797457,1.0
2810408A11Rik,24H,-1.0464811710231008,0.17452121561723213,1.0
2810410L24Rik,24H,-0.38346112522703724,0.08768036702828254,1.0
2810414N06Rik,24H,0.21942217135966935,0.40017798101859064,1.0
2810428I15Rik,24H,-0.26987353757190924,0.14370671221002343,1.0
2810428J06Rik,24H,-0.004907807421130617,0.9925514799989521,1.0
2810429I04Rik,24H,0.167278037742693,0.6133415410731381,1.0
2810454H06Rik,24H,0.17810269354786312,0.30108731360757723,1.0
2810455O05Rik,24H,0.06568798546467036,0.627379911378445,1.0
2810459M11Rik,24H,-0.12758105833104416,0.610207820823134,1.0
2810468N07Rik,24H,-0.1220988060731294,0.39825622330074434,1.0
2810474O19Rik,24H,0.341069177005231,0.5940314442067868,1.0
2900005J15Rik,24H,0.08153180932477966,0.8868524392485689,1.0
2900009J06Rik,24H,0.09210617805625754,0.8042787974773169,1.0
2900011O08Rik,24H,0.07514441031513464,0.49190297222737805,1.0
2900022M07Rik,24H,-0.2194592246165783,0.7302260417420586,1.0
2900026A02Rik,24H,0.033093385175133605,0.853964629591486,1.0
2900041M22Rik,24H,0.30286202882086233,0.05117313486956144,1.0
2900052L18Rik,24H,0.07650708885397783,0.763274779730572,1.0
2900052N01Rik,24H,0.3092258215568844,0.48626453671471814,1.0
2900055J20Rik,24H,-0.045700000994115975,0.9086242852188744,1.0
2900064F13Rik,24H,0.1244589839533452,0.7080450018428316,1.0
2900076A07Rik,24H,0.13057875066854496,0.8353170338824032,1.0
2900079G21Rik,24H,0.03900688051814072,0.8599953171390347,1.0
2900089D17Rik,24H,0.22287069330572873,0.6857057018554751,1.0
2900093K20Rik,24H,0.4221270947556013,0.3523970018900678,1.0
2900097C17Rik,24H,0.041041203076101596,0.8663475972884914,1.0
3000002C10Rik,24H,-0.3517056265161722,0.14844905457054766,1.0
3010001F23Rik,24H,0.7326017363625286,0.25023260115451684,1.0
3010026O09Rik,24H,-0.26883998424685007,0.14425963274845444,1.0
3110001I22Rik,24H,0.16196188832435965,0.45966693135069964,1.0
3110002H16Rik,24H,0.05694635628248079,0.8596883556670682,1.0
3110009E18Rik,24H,-0.20392164843045535,0.6665105984314066,1.0
3110021N24Rik,24H,-0.00996927439493911,0.9537712579925973,1.0
3110035E14Rik,24H,0.18075141402989203,0.45767188151450666,1.0
3110039M20Rik,24H,0.48385889526866777,0.01256869749092312,1.0
3110040N11Rik,24H,-0.03707574193154706,0.8912370046736051,1.0
3110043O21Rik,24H,0.08147035297510818,0.7479313364097406,1.0
3110045C21Rik,24H,0.3821841150448724,0.5424985706228169,1.0
3110052M02Rik,24H,0.36680654325794837,0.5862770319131427,1.0
3110053B16Rik,24H,-0.04009969477514819,0.8278701348472064,1.0
3110056K07Rik,24H,0.3533333152410387,0.4279162845454132,1.0
3110057O12Rik,24H,0.3747727029661352,0.5500629228803194,1.0
3110062M04Rik,24H,0.26023856094667597,0.40293640669419206,1.0
3110070M22Rik,24H,-0.40467518176259887,0.13801659752300868,1.0
3110082I17Rik,24H,-0.25582281958308695,0.13342647180164527,1.0
3110082J24Rik,24H,0.18505580492370743,0.6850635118876893,1.0
3110083C13Rik,24H,-0.14657395149343033,0.7268929050069499,1.0
3222401L13Rik,24H,0.34275854346689894,0.4402787228799754,1.0
3300002I08Rik,24H,0.04926161343028568,0.887423869205477,1.0
3632451O06Rik,24H,0.14073601062960606,0.6107082966894226,1.0
3632454L22Rik,24H,1.0476592433130945,0.17965645704226954,1.0
3830406C13Rik,24H,0.0214373764443323,0.9516330727688606,1.0
3830408C21Rik,24H,0.9908749411115578,0.41821587065418203,1.0
